0.1,
Channel,Type,Title,Mode,Index,CH-Type,Group,
IO+ai.Gas01.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas02.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas03.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas04.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas05.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas06.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas07.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas08.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas09.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas10.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas11.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas12.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas17.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ai.Gasbox.Diff_Pressure,INTERVAL,,DISABLE,0,A,,
IO+ai.Gasbox.Leak.H2,INTERVAL,,DISABLE,0,A,,
IO+ai.Gasbox.Leak.NF3,INTERVAL,,DISABLE,0,A,,
IO+ai.Gasbox.Leak.NH3,INTERVAL,,DISABLE,0,A,,
IO+ai.He.Flow.Center,INTERVAL,,DISABLE,0,A,,
IO+ai.He.Flow.Edge,INTERVAL,,DISABLE,0,A,,
IO+ai.He.Pressure.Center,INTERVAL,,DISABLE,0,A,,
IO+ai.He.Pressure.Edge,INTERVAL,,DISABLE,0,A,,
IO+ai.N2_Purge.PT.Value,INTERVAL,,DISABLE,0,A,,
IO+ao.He.Pressure.Center,INTERVAL,,DISABLE,0,A,,
IO+ao.He.Pressure.Edge,INTERVAL,,DISABLE,0,A,,
IO+ao.SH.Zone_1.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.SH.Zone_2.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.SH.Zone_3.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.SH.Zone_4.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Wall.Heater.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+di.Comm.Sts,INTERVAL,,DISABLE,0,D,,
IO+do.CHM.Purge.Center.V523,INTERVAL,,DISABLE,0,D,,
IO+do.CHM.Purge.Edge.V524,INTERVAL,,DISABLE,0,D,,
IO+do.CHM.Purge.Fast.V9,INTERVAL,,DISABLE,0,D,,
IO+do.CHM.Purge.Slow.V8,INTERVAL,,DISABLE,0,D,,
IO+do.CHM.Purge.V3,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Center.Final.V511,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Center.Final.V522,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Edge.Final.V512,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Edge.Final.V521,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Primary.V531,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Primary.V532,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Primary.V533,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Primary.V534,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Primary.V535,INTERVAL,,DISABLE,0,D,,
IO+do.DGF.Primary.V536,INTERVAL,,DISABLE,0,D,,
IO+do.FR.Valve,INTERVAL,,DISABLE,0,D,,
IO+do.GAS.MFC.Purge.V1,INTERVAL,,DISABLE,0,D,,
IO+do.GAS.Secondary.Vac.V4,INTERVAL,,DISABLE,0,D,,
IO+do.GAS1.Primary.V10,INTERVAL,,DISABLE,0,D,,
IO+do.GAS1.Purge.V11,INTERVAL,,DISABLE,0,D,,
IO+do.GAS1.Secondary.V12,INTERVAL,,DISABLE,0,D,,
IO+do.GAS10.Primary.V100,INTERVAL,,DISABLE,0,D,,
IO+do.GAS10.Purge.V101,INTERVAL,,DISABLE,0,D,,
IO+do.GAS10.Secondary.V102,INTERVAL,,DISABLE,0,D,,
IO+do.GAS11.Primary.V110,INTERVAL,,DISABLE,0,D,,
IO+do.GAS11.Purge.V111,INTERVAL,,DISABLE,0,D,,
IO+do.GAS11.Secondary.V112,INTERVAL,,DISABLE,0,D,,
IO+do.GAS12.Primary.V120,INTERVAL,,DISABLE,0,D,,
IO+do.GAS12.Purge.V121,INTERVAL,,DISABLE,0,D,,
IO+do.GAS12.Secondary.V122,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.2nd.Purge.V174,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.Center.V525,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.Edge.V526,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.Primary.V170,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.Purge.V171,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.Secondary.V172,INTERVAL,,DISABLE,0,D,,
IO+do.GAS17.Vac.V173,INTERVAL,,DISABLE,0,D,,
IO+do.GAS2.Primary.V20,INTERVAL,,DISABLE,0,D,,
IO+do.GAS2.Purge.V21,INTERVAL,,DISABLE,0,D,,
IO+do.GAS2.Secondary.V22,INTERVAL,,DISABLE,0,D,,
IO+do.GAS3.Primary.V30,INTERVAL,,DISABLE,0,D,,
IO+do.GAS3.Purge.V31,INTERVAL,,DISABLE,0,D,,
IO+do.GAS3.Secondary.V32,INTERVAL,,DISABLE,0,D,,
IO+do.GAS4.Primary.V40,INTERVAL,,DISABLE,0,D,,
IO+do.GAS4.Purge.V41,INTERVAL,,DISABLE,0,D,,
IO+do.GAS4.Secondary.V42,INTERVAL,,DISABLE,0,D,,
IO+do.GAS5.Primary.V50,INTERVAL,,DISABLE,0,D,,
IO+do.GAS5.Purge.V51,INTERVAL,,DISABLE,0,D,,
IO+do.GAS5.Secondary.V52,INTERVAL,,DISABLE,0,D,,
IO+do.GAS6.Primary.V60,INTERVAL,,DISABLE,0,D,,
IO+do.GAS6.Purge.V61,INTERVAL,,DISABLE,0,D,,
IO+do.GAS6.Secondary.V62,INTERVAL,,DISABLE,0,D,,
IO+do.GAS7.Primary.V70,INTERVAL,,DISABLE,0,D,,
IO+do.GAS7.Purge.V71,INTERVAL,,DISABLE,0,D,,
IO+do.GAS7.Secondary.V72,INTERVAL,,DISABLE,0,D,,
IO+do.GAS8.Primary.V80,INTERVAL,,DISABLE,0,D,,
IO+do.GAS8.Purge.V81,INTERVAL,,DISABLE,0,D,,
IO+do.GAS8.Secondary.V82,INTERVAL,,DISABLE,0,D,,
IO+do.GAS9.Primary.V90,INTERVAL,,DISABLE,0,D,,
IO+do.GAS9.Purge.V91,INTERVAL,,DISABLE,0,D,,
IO+do.GAS9.Secondary.V92,INTERVAL,,DISABLE,0,D,,
IO+do.He.Center.3Way.Dump.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Center.3Way.Final.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Center.Dump.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Edge.3Way.Dump.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Edge.3Way.Final.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Edge.Dump.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Pumping.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Supply.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.Manometer.ISO.Vlv.1_torr,INTERVAL,,DISABLE,0,D,,
IO+do.Middle.Pin.Down,INTERVAL,,DISABLE,0,D,,
IO+do.Middle.Pin.Up,INTERVAL,,DISABLE,0,D,,
IO+do.PC.Alive.Toggle,INTERVAL,,DISABLE,0,D,,
IO+do.Purge.Vac.V2,INTERVAL,,DISABLE,0,D,,
IO+do.SR.Valve,INTERVAL,,DISABLE,0,D,,
IO+do.TMP.Foreline.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.TMP.N2.Purge.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.TOP.Center.Final,INTERVAL,,DISABLE,0,D,,
IO+do.TOP.Edge.Final,INTERVAL,,DISABLE,0,D,,
IO+do.Transfer.Pin.Down,INTERVAL,,DISABLE,0,D,,
IO+do.Transfer.Pin.Up,INTERVAL,,DISABLE,0,D,,
IO+si.SH.Zone_1.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_1.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_1.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_1.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_2.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_2.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_2.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_2.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_3.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_3.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_3.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_3.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_4.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_4.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_4.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.SH.Zone_4.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater1.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater1.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater2.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater2.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater3.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater3.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater4.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater4.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.FORWARD_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.FORWARD_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.FORWARD_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.FORWARD_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.OP_HIGH_LIMIT.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.OP_HIGH_LIMIT.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.OP_HIGH_LIMIT.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.OP_HIGH_LIMIT.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV_OFFSET.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV_OFFSET.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV_OFFSET.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.PV_OFFSET.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_SP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_SP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_SP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.GET.WORKING_SP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_SH+MON.IO.SET.SP.LOOP.01,INTERVAL,,DISABLE,0,A,,
PHY_HTR_SH+MON.IO.SET.SP.LOOP.02,INTERVAL,,DISABLE,0,A,,
PHY_HTR_SH+MON.IO.SET.SP.LOOP.03,INTERVAL,,DISABLE,0,A,,
PHY_HTR_SH+MON.IO.SET.SP.LOOP.04,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.01,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.02,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.03,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.04,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.05,INTERVAL,,DISABLE,0,A,,
PHY_IO__APC_VLV+INR.OUT.sPOSITION.VALUE,INTERVAL,,DISABLE,0,S,,
PHY_IO__APC_VLV+INR.OUT.sPRESSURE.VALUE,INTERVAL,,DISABLE,0,S,,
PHY_IO__ESC+PARA.VOLT_SET.CH1,INTERVAL,,DISABLE,0,A,,
PHY_IO__ESC+PARA.VOLT_SET.CH2,INTERVAL,,DISABLE,0,A,,
PHY_IO__ESC+RCP.VOLT_SET.CH1,INTERVAL,,DISABLE,0,A,,
PHY_IO__ESC+RCP.VOLT_SET.CH2,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_400KHZ+PARA.SET.POWER,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_40MHZ+PARA.SET.POWER,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_RPS+CFG.DRV_CHAR_SEDN_DELAY.mSEC,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_RPS+CFG.DRV_LINE_SEDN_DELAY.mSEC,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_RPS+PARA.SET.POWER,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+EPD.SIGNAL,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+OES.BROADBAND.SIGNAL.AVG,INTERVAL,,DISABLE,0,A,,
